11.523,8198336.04052016,8127149.88512013,2079754.65415567,1.15456675109673,0.968782199707538
11.623,8191238.43248847,8127575.72107224,2085700.18696691,1.15519405207156,0.968614919447585
11.723,8175615.19008474,8127894.91902361,2098547.45859088,1.1565709777113,0.968247739276987
11.823,8208916.49345934,8128433.26636815,2071337.34983902,1.15362956344034,0.969032116415909
11.924,8197350.22375129,8128895.74844422,2081013.63664144,1.15465394593223,0.968758947751405
12.024,8191032.41466267,8129308.61513424,2086313.98028391,1.15521224379983,0.968610068320046
12.124,8192573.74041101,8129728.97986341,2085156.20958616,1.15507611948829,0.968646368136456
12.224,8203084.41903078,8130216.38962012,2076620.12694287,1.1541464594436,0.968894277481707
12.324,8195093.99030332,8130647.46843205,2083319.66428649,1.15485342764223,0.96870575262874
12.425,8198860.76496078,8131105.2284405,2080334.21085678,1.15452033082459,0.968794578446775
12.525,8193148.92256736,8131517.47737804,2085142.23565211,1.15502530810933,0.968659917837512
12.625,8171805.22325642,8131785.16905353,2102649.38670271,1.15690595643186,0.968158411618172
12.725,8205385.70843051,8132274.20737704,2075241.94736573,1.15394258662678,0.968948643566192
12.825,8197477.89713937,8132707.45288582,2081884.22730826,1.15464265451468,0.968761958796084
12.926,8174787.86100683,8132989.84252181,2100536.20151215,1.15664374462438,0.968228334766832
13.026,8200689.67231121,8133439.67361738,2079422.1310136,1.15435848717309,0.968837736753843
13.126,8180461.65474191,8133752.11087684,2096109.00900583,1.15614441304842,0.968361489853755
13.226,8179200.70699259,8134054.09378945,2097215.80195857,1.15625544532096,0.968331881247743
13.326,8195711.38778701,8134463.77529375,2083789.20726209,1.15479885245742,0.968720306011356
13.427,8191053.72734084,8134843.53434727,2087716.96329013,1.1552103618969,0.968610570160826
13.527,8193475.53257713,8135233.11429276,2085826.41906492,1.15499645226449,0.96866761272947
13.627,8167055.59995413,8135444.55859969,2107449.5381668,1.15732311158012,0.968047170245303
13.727,8214845.98183058,8135972.14085969,2068329.21357394,1.15310325792246,0.96917246455401
13.827,8178366.98337931,8136253.83312563,2098463.08967035,1.15632883953502,0.968312309457329
13.928,8192396.19843063,8136630.58855197,2087072.33928793,1.15509180201266,0.968642186129957
14.028,8184548.12579754,8136948.97632848,2093591.95157375,1.15578434228887,0.968457508722969
14.128,8202283.96793237,8137383.09427152,2079112.66110067,1.15421734445375,0.968875374812332
14.228,8180383.302212,8137668.80888421,2097182.34957471,1.15615131335914,0.968359649770896
14.328,8188616.24624491,8138007.32881307,2090530.23998295,1.15542552613127,0.968553193031662
14.429,8195718.48375778,8138394.61193996,2084790.31570324,1.15479822515644,0.968720473291615
14.529,8196264.83583185,8138779.13028063,2084438.60805912,1.15474992298138,0.968733353871632
14.629,8167277.13425495,8138968.48508978,2108182.78728643,1.1573036652499,0.968052355933361
14.729,8202595.66705095,8139391.25550233,2079367.93047384,1.15418974321086,0.96888273514377
14.829,8192119.21728381,8139741.60611457,2088098.10650337,1.15511626675068,0.968635662199819
14.93,8177176.6701073,8139992.82216894,2100398.34468616,1.15643359879781,0.968284373653917
15.03,8200179.3635704,8140392.73126682,2081621.43538615,1.15440365284328,0.968825692575126
15.13,8186781.83297345,8140700.96336294,2092727.03323941,1.15558736978277,0.968510034724594
15.23,8184071.34661933,8140989.13760321,2095021.84633342,1.15582637145418,0.968446300945552
15.33,8200065.9527956,8141381.67313222,2081968.0274889,1.15441368965887,0.968823016090967
15.431,8182946.77868612,8141660.60471943,2096115.09108686,1.1559254850082,0.968419870664479
15.531,8185224.05943398,8141950.06182179,2094325.00733252,1.15572474869626,0.968473400347664
15.631,8203381.89099112,8142358.24522645,2079475.14735552,1.15412011280266,0.968901303252625
15.731,8190201.13214095,8142676.13698929,2090427.86455822,1.15528563801388,0.968590496529632
15.831,8166798.31918398,8142836.416678,2109573.02543793,1.15734569441521,0.968041148155944
15.932,8189248.85399291,8143147.87732832,2091331.29668708,1.15536969634451,0.968568080974798
16.032,8190606.13738728,8143463.21344043,2090297.06163119,1.15524988185832,0.968600031504449
16.132,8206093.53087366,8143879.36019286,2077616.51501457,1.1538798565293,0.968965371592187
16.232,8189995.0611953,8144185.77567972,2090984.77728656,1.15530382974215,0.968585645402093
16.332,8066646.860643,8143670.56884376,2188849.05941359,1.16603067641167,0.965725152956888
16.433,8149466.05031999,8143709.46066962,2123789.18286848,1.15886376277429,0.967636329926857
16.533,8128022.06322288,8143605.22585541,2140887.38103996,1.16073311967927,0.967137834752195
16.633,8118393.77181021,8143437.7085067,2148467.95725005,1.16156931187871,0.966914850165677
16.734,8159552.05824699,8143545.84731906,2115621.95552374,1.15798115030271,0.967871693252611
16.834,8122101.82208838,8143403.36262755,2145527.18716112,1.16124750647862,0.967000664939033
16.934,8139211.30461875,8143375.50852433,2131916.364899,1.15975892126536,0.967397620995903
17.035,8124752.53388052,8143250.53504461,2143387.63732191,1.16101728702086,0.967062056794436
17.135,8133962.68581212,8143188.82198848,2136053.90213544,1.16021622367601,0.967275673686397
17.235,8139419.95951748,8143163.77980537,2131694.26045184,1.15974072953709,0.967402472123442
17.336,8115985.02458532,8142981.39091856,2150248.78611896,1.16177820310333,0.966859145839113
17.436,8142757.00293368,8142979.899974,2128977.96205218,1.15944966188477,0.96748009016406
17.536,8123936.5547118,8142853.36658552,2143929.6170944,1.16108817203102,0.967043154125061
17.636,8139009.8347048,8142827.82826198,2131933.89386299,1.15977648569266,0.967392937148624
17.736,8092992.52498958,8142496.69790111,2168145.59256219,1.16376611989255,0.96632903469532
17.837,8139535.07494504,8142476.82329281,2131422.47590795,1.1597306927215,0.967405148607601
17.937,8125272.36625455,8142362.50838563,2142741.90135081,1.16097212135068,0.967074100973153
18.037,8128664.1184874,8142271.48951964,2140026.97622134,1.16067728989251,0.967152722695331
18.137,8117475.28458066,8142106.73129102,2148841.97901686,1.16164897910251,0.966893605572663
18.237,8121003.48473707,8141966.51090129,2146017.45970036,1.1613428562268,0.96697523833952
18.338,8121942.87014939,8141832.13795018,2145238.98775526,1.16126130710007,0.966996984773314
18.438,8115160.08875821,8141654.91568616,2150548.96579595,1.16184971541446,0.966840075889478
18.538,8103688.20730206,8141402.64612978,2159497.90349805,1.16284273285761,0.966575271237971
18.638,8144072.37861935,8141420.38515061,2127517.37197234,1.15933486580638,0.967510702451632
